flight_id,op_type,flight_number,operation_type,scheduled_time,aircraft_type_icao,aircraft_type_iata,airline_iata,origin_icao,destination_icao,predicted_passengers,gate,baggage_belt,flight_type_iata
20260330T112500Z_AY1512_A_EFHK,A,AY1512,arrival,2026-03-30T14:25:00.000+03:00,A320,320,AY,LSZH,EFHK,103,,2,J
20260330T112500Z_AY1752_A_EFHK,A,AY1752,arrival,2026-03-30T14:25:00.000+03:00,A321,321,AY,LIMC,EFHK,122,,6,J
20260330T112500Z_AY824_A_EFHK,A,AY824,arrival,2026-03-30T14:25:00.000+03:00,A320,320,AY,ESSA,EFHK,79,,5,J
20260330T113000Z_AY366_A_EFHK,A,AY366,arrival,2026-03-30T14:30:00.000+03:00,AT75,,AY,EFKU,EFHK,42,,12,J
20260330T113500Z_AY1394_A_EFHK,A,AY1394,arrival,2026-03-30T14:35:00.000+03:00,E190,E90,AY,EDDL,EFHK,65,,11,J
20260330T113500Z_AY439_D_EFHK,D,AY439,departure,2026-03-30T14:35:00.000+03:00,A320,320,AY,EFHK,EFOU,127,,,J
20260330T114000Z_AY1572_A_EFHK,A,AY1572,arrival,2026-03-30T14:40:00.000+03:00,A321,321,AY,LFPG,EFHK,122,,3,J
20260330T114000Z_AY314_A_EFHK,A,AY314,arrival,2026-03-30T14:40:00.000+03:00,AT75,,AY,EFVA,EFHK,40,,12,J
20260330T114000Z_AY592_A_EFHK,A,AY592,arrival,2026-03-30T14:40:00.000+03:00,AT75,,AY,EFKT,EFHK,37,,10,J
20260330T114000Z_D82767_A_EFHK,A,D82767,arrival,2026-03-30T14:40:00.000+03:00,B38M,7M8,D8,EGKK,EFHK,117,,4,J
20260330T114000Z_PC1311_A_EFHK,A,PC1311,arrival,2026-03-30T14:40:00.000+03:00,A21N,32Q,PC,LTFJ,EFHK,131,,6,J
20260330T114500Z_AY1224_A_EFHK,A,AY1224,arrival,2026-03-30T14:45:00.000+03:00,A320,320,AY,LKPR,EFHK,103,,4,J
20260330T114500Z_AY1382_A_EFHK,A,AY1382,arrival,2026-03-30T14:45:00.000+03:00,A320,320,AY,EIDW,EFHK,100,,2,J
20260330T114500Z_AY1532_A_EFHK,A,AY1532,arrival,2026-03-30T14:45:00.000+03:00,E190,E90,AY,LSGG,EFHK,66,,8,J
20260330T114500Z_AY806_A_EFHK,A,AY806,arrival,2026-03-30T14:45:00.000+03:00,A319,319,AY,ESSA,EFHK,79,,3,J
20260330T114500Z_RP694_A_EFHK,A,RP694,arrival,2026-03-30T14:45:00.000+03:00,E120,EM2,RP,EFPO,EFHK,12,,8,J
20260330T115000Z_AY1362_A_EFHK,A,AY1362,arrival,2026-03-30T14:50:00.000+03:00,A320,320,AY,EGCC,EFHK,103,,7,J
20260330T115000Z_AY1542_A_EFHK,A,AY1542,arrival,2026-03-30T14:50:00.000+03:00,A319,319,AY,EBBR,EFHK,103,,5,J
20260330T115000Z_AY286_A_EFHK,A,AY286,arrival,2026-03-30T14:50:00.000+03:00,AT75,,AY,EFJY,EFHK,34,,12,J
20260330T115500Z_AY1402_A_EFHK,A,AY1402,arrival,2026-03-30T14:55:00.000+03:00,A321,321,AY,EDDM,EFHK,119,,6,J
20260330T115500Z_AY1412_A_EFHK,A,AY1412,arrival,2026-03-30T14:55:00.000+03:00,B738,738,AY,EDDF,EFHK,0,,11,J
20260330T115500Z_AY1762_A_EFHK,A,AY1762,arrival,2026-03-30T14:55:00.000+03:00,A321,321,AY,LIRF,EFHK,122,,3,J
20260330T115500Z_D82901_A_EFHK,A,D82901,arrival,2026-03-30T14:55:00.000+03:00,B38M,7M8,D8,LEBL,EFHK,117,,7,J
20260330T120000Z_AY1472_A_EFHK,A,AY1472,arrival,2026-03-30T15:00:00.000+03:00,A320,320,AY,LOWW,EFHK,106,,3,J
20260330T120000Z_AY1792_A_EFHK,A,AY1792,arrival,2026-03-30T15:00:00.000+03:00,A319,319,AY,LIRN,EFHK,84,,2,J
20260330T120000Z_AY956_A_EFHK,A,AY956,arrival,2026-03-30T15:00:00.000+03:00,A321,321,AY,EKCH,EFHK,126,,5,J
20260330T120000Z_AY992_A_EFHK,A,AY992,arrival,2026-03-30T15:00:00.000+03:00,B738,738,AY,BIKF,EFHK,0,,10,J
20260330T120000Z_BT303_A_EFHK,A,BT303,arrival,2026-03-30T15:00:00.000+03:00,BCS3,CS3,BT,EVRA,EFHK,80,,12,J
20260330T120000Z_FI343_D_EFHK,D,FI343,departure,2026-03-30T15:00:00.000+03:00,A21N,32Q,FI,EFHK,BIKF,149,,,J
20260330T121000Z_AY1080_A_EFHK,A,AY1080,arrival,2026-03-30T15:10:00.000+03:00,AT75,,AY,EVRA,EFHK,39,,12,J
20260330T121000Z_AY1654_A_EFHK,A,AY1654,arrival,2026-03-30T15:10:00.000+03:00,A321,321,AY,LEBL,EFHK,126,,5,J
20260330T121000Z_AY542_A_EFHK,A,AY542,arrival,2026-03-30T15:10:00.000+03:00,AT75,,AY,EFRO,EFHK,42,,10,J
20260330T121000Z_AY914_A_EFHK,A,AY914,arrival,2026-03-30T15:10:00.000+03:00,A319,319,AY,ENGM,EFHK,84,,4,J
20260330T121500Z_AY1023_D_EFHK,D,AY1023,departure,2026-03-30T15:15:00.000+03:00,AT75,,AY,EFHK,EETN,50,,,J
20260330T121500Z_AY1302_A_EFHK,A,AY1302,arrival,2026-03-30T15:15:00.000+03:00,A359,359,AY,EHAM,EFHK,223,,6,J
20260330T121500Z_AY1332_A_EFHK,A,AY1332,arrival,2026-03-30T15:15:00.000+03:00,A359,359,AY,EGLL,EFHK,222,,3,J
20260330T121500Z_AY438_A_EFHK,A,AY438,arrival,2026-03-30T15:15:00.000+03:00,A320,320,AY,EFOU,EFHK,122,,6,J
20260330T121500Z_AY810_A_EFHK,A,AY810,arrival,2026-03-30T15:15:00.000+03:00,B738,738,AY,ESSA,EFHK,0,,11,J
20260330T121500Z_N79955_D_EFHK,D,N79955,departure,2026-03-30T15:15:00.000+03:00,AT75,,N7,EFHK,LJLJ,,,,P
20260330T122000Z_AY1104_A_EFHK,A,AY1104,arrival,2026-03-30T15:20:00.000+03:00,AT75,,AY,EYVI,EFHK,39,,10,J
20260330T122000Z_AY1424_A_EFHK,A,AY1424,arrival,2026-03-30T15:20:00.000+03:00,E190,E90,AY,EDDH,EFHK,68,,11,J
20260330T122000Z_AY864_A_EFHK,A,AY864,arrival,2026-03-30T15:20:00.000+03:00,E190,E90,AY,ESGG,EFHK,68,,12,J
20260330T122000Z_D83152_A_EFHK,A,D83152,arrival,2026-03-30T15:20:00.000+03:00,B738,738,D8,EKCH,EFHK,0,,2,J
20260330T122000Z_SK1712_A_EFHK,A,SK1712,arrival,2026-03-30T15:20:00.000+03:00,A20N,32N,SK,EKCH,EFHK,109,,8,J
20260330T122500Z_AY1166_A_EFHK,A,AY1166,arrival,2026-03-30T15:25:00.000+03:00,E190,E90,AY,EPKK,EFHK,69,,8,J
20260330T122500Z_AY1252_A_EFHK,A,AY1252,arrival,2026-03-30T15:25:00.000+03:00,E190,E90,AY,LHBP,EFHK,69,,12,J
20260330T122500Z_AY142_A_EFHK,A,AY142,arrival,2026-03-30T15:25:00.000+03:00,A359,359,AY,VTBS,EFHK,222,,5,J
20260330T122500Z_AY1662_A_EFHK,A,AY1662,arrival,2026-03-30T15:25:00.000+03:00,A321,321,AY,LEMD,EFHK,126,,7,J
20260330T123000Z_AY1018_A_EFHK,A,AY1018,arrival,2026-03-30T15:30:00.000+03:00,A319,319,AY,EETN,EFHK,84,,4,J
20260330T123000Z_AY1176_A_EFHK,A,AY1176,arrival,2026-03-30T15:30:00.000+03:00,AT75,,AY,EPGD,EFHK,39,,10,J
20260330T123000Z_AY315_D_EFHK,D,AY315,departure,2026-03-30T15:30:00.000+03:00,AT75,,AY,EFHK,EFVA,46,,,J
20260330T123000Z_AY534_A_EFHK,A,AY534,arrival,2026-03-30T15:30:00.000+03:00,A321,321,AY,EFRO,EFHK,144,,5,J
20260330T123500Z_AY1763_D_EFHK,D,AY1763,departure,2026-03-30T15:35:00.000+03:00,A321,321,AY,EFHK,LIRF,154,,,J
20260330T123500Z_AY1929_D_EFHK,D,AY1929,departure,2026-03-30T15:35:00.000+03:00,A319,319,AY,EFHK,LCLK,101,,,J
20260330T123500Z_AY959_D_EFHK,D,AY959,departure,2026-03-30T15:35:00.000+03:00,A320,320,AY,EFHK,EKCH,125,,,J
20260330T123500Z_D82886_D_EFHK,D,D82886,departure,2026-03-30T15:35:00.000+03:00,B38M,7M8,D8,EFHK,LEMG,154,,,J
20260330T124000Z_AY1144_A_EFHK,A,AY1144,arrival,2026-03-30T15:40:00.000+03:00,E190,E90,AY,EPWA,EFHK,69,,12,J
20260330T124000Z_D82614_D_EFHK,D,D82614,departure,2026-03-30T15:40:00.000+03:00,B38M,7M8,D8,EFHK,ESSA,132,,,J
20260330T124500Z_AY1019_D_EFHK,D,AY1019,departure,2026-03-30T15:45:00.000+03:00,AT75,,AY,EFHK,EETN,49,,,J
20260330T124500Z_AY575_D_EFHK,D,AY575,departure,2026-03-30T15:45:00.000+03:00,A321,321,AY,EFHK,EFKT,140,,,J
20260330T124500Z_BT304_D_EFHK,D,BT304,departure,2026-03-30T15:45:00.000+03:00,BCS3,CS3,BT,EFHK,EVRA,102,,,J
20260330T124500Z_PC1312_D_EFHK,D,PC1312,departure,2026-03-30T15:45:00.000+03:00,A21N,32Q,PC,EFHK,LTFJ,147,,,J
20260330T124500Z_SK710_A_EFHK,A,SK710,arrival,2026-03-30T15:45:00.000+03:00,CRJ9,CR9,SK,ESSA,EFHK,57,,11,J
20260330T125000Z_AY1048_A_EFHK,A,AY1048,arrival,2026-03-30T15:50:00.000+03:00,AT75,,AY,EETU,EFHK,39,,12,J
20260330T125000Z_D83153_D_EFHK,D,D83153,departure,2026-03-30T15:50:00.000+03:00,B738,738,D8,EFHK,EKCH,0,,,J
20260330T125500Z_AY441_D_EFHK,D,AY441,departure,2026-03-30T15:55:00.000+03:00,A319,319,AY,EFHK,EFOU,105,,,J
20260330T125500Z_AY812_A_EFHK,A,AY812,arrival,2026-03-30T15:55:00.000+03:00,E190,E90,AY,ESSA,EFHK,68,,10,J
20260330T125500Z_AY813_D_EFHK,D,AY813,departure,2026-03-30T15:55:00.000+03:00,A321,321,AY,EFHK,ESSA,144,,,J
20260330T130000Z_AY1337_D_EFHK,D,AY1337,departure,2026-03-30T16:00:00.000+03:00,A321,321,AY,EFHK,EGLL,155,,,J
20260330T130000Z_AY535_D_EFHK,D,AY535,departure,2026-03-30T16:00:00.000+03:00,E190,E90,AY,EFHK,EFRO,89,,,J
20260330T130000Z_SK1713_D_EFHK,D,SK1713,departure,2026-03-30T16:00:00.000+03:00,A20N,32N,SK,EFHK,EKCH,137,,,J
20260330T130500Z_AY1075_D_EFHK,D,AY1075,departure,2026-03-30T16:05:00.000+03:00,AT75,,AY,EFHK,EVRA,52,,,J
20260330T130500Z_AY1365_D_EFHK,D,AY1365,departure,2026-03-30T16:05:00.000+03:00,A320,320,AY,EFHK,EGCC,132,,,J
20260330T130500Z_AY1533_D_EFHK,D,AY1533,departure,2026-03-30T16:05:00.000+03:00,A319,319,AY,EFHK,LSGG,102,,,J
20260330T131000Z_AY1105_D_EFHK,D,AY1105,departure,2026-03-30T16:10:00.000+03:00,AT75,,AY,EFHK,EYVI,49,,,J
20260330T131000Z_AY1577_D_EFHK,D,AY1577,departure,2026-03-30T16:10:00.000+03:00,A320,320,AY,EFHK,LFPG,134,,,J
20260330T131000Z_AY915_D_EFHK,D,AY915,departure,2026-03-30T16:10:00.000+03:00,E190,E90,AY,EFHK,ENGM,86,,,J
20260330T131500Z_AY1405_D_EFHK,D,AY1405,departure,2026-03-30T16:15:00.000+03:00,A320,320,AY,EFHK,EDDM,132,,,J
20260330T131500Z_AY369_D_EFHK,D,AY369,departure,2026-03-30T16:15:00.000+03:00,AT75,,AY,EFHK,EFKU,51,,,J
20260330T131500Z_AY865_D_EFHK,D,AY865,departure,2026-03-30T16:15:00.000+03:00,E190,E90,AY,EFHK,ESGG,83,,,J
20260330T132000Z_AY1255_D_EFHK,D,AY1255,departure,2026-03-30T16:20:00.000+03:00,B738,738,AY,EFHK,LHBP,0,,,J
20260330T132000Z_AY1435_D_EFHK,D,AY1435,departure,2026-03-30T16:20:00.000+03:00,A321,321,AY,EFHK,EDDB,154,,,J
20260330T132000Z_AY613_D_EFHK,D,AY613,departure,2026-03-30T16:20:00.000+03:00,AT75,,AY,EFHK,EFIV,48,,,J
20260330T132000Z_AY7055_D_EFHK,D,AY7055,departure,2026-03-30T16:20:00.000+03:00,A321,321,AY,EFHK,LIML,150,,,J
20260330T132000Z_AY958_A_EFHK,A,AY958,arrival,2026-03-30T16:20:00.000+03:00,E190,E90,AY,EKCH,EFHK,73,,12,J
20260330T132500Z_AY1021_D_EFHK,D,AY1021,departure,2026-03-30T16:25:00.000+03:00,AT75,,AY,EFHK,EETN,51,,,J
20260330T132500Z_SK711_D_EFHK,D,SK711,departure,2026-03-30T16:25:00.000+03:00,CRJ9,CR9,SK,EFHK,ESSA,69,,,J
20260330T133000Z_AY1373_D_EFHK,D,AY1373,departure,2026-03-30T16:30:00.000+03:00,A320,320,AY,EFHK,EGPH,136,,,J
20260330T133000Z_AY1425_D_EFHK,D,AY1425,departure,2026-03-30T16:30:00.000+03:00,A320,320,AY,EFHK,EDDH,139,,,J
20260330T133000Z_AY1513_D_EFHK,D,AY1513,departure,2026-03-30T16:30:00.000+03:00,A320,320,AY,EFHK,LSZH,129,,,J
20260330T133500Z_AY1395_D_EFHK,D,AY1395,departure,2026-03-30T16:35:00.000+03:00,E190,E90,AY,EFHK,EDDL,86,,,J
20260330T133500Z_AY1773_D_EFHK,D,AY1773,departure,2026-03-30T16:35:00.000+03:00,E190,E90,AY,EFHK,LIPE,81,,,J
20260330T134000Z_AF1070_A_EFHK,A,AF1070,arrival,2026-03-30T16:40:00.000+03:00,BCS3,CS3,AF,LFPG,EFHK,85,,2,J
20260330T134000Z_AY1024_A_EFHK,A,AY1024,arrival,2026-03-30T16:40:00.000+03:00,AT75,,AY,EETN,EFHK,42,,12,J
20260330T134000Z_AY1305_D_EFHK,D,AY1305,departure,2026-03-30T16:40:00.000+03:00,A333,333,AY,EFHK,EHAM,241,,,J
20260330T134000Z_AY1661_D_EFHK,D,AY1661,departure,2026-03-30T16:40:00.000+03:00,A321,321,AY,EFHK,LEMD,168,,,J
20260330T134000Z_AY927_D_EFHK,D,AY927,departure,2026-03-30T16:40:00.000+03:00,E190,E90,AY,EFHK,ENZV,84,,,J
20260330T134000Z_D82613_A_EFHK,A,D82613,arrival,2026-03-30T16:40:00.000+03:00,B38M,7M8,D8,ESSA,EFHK,124,,3,J
20260330T134000Z_D82883_A_EFHK,A,D82883,arrival,2026-03-30T16:40:00.000+03:00,B38M,7M8,D8,LEMG,EFHK,127,,5,J
20260330T134500Z_AY1434_A_EFHK,A,AY1434,arrival,2026-03-30T16:45:00.000+03:00,A321,321,AY,EDDB,EFHK,130,,6,J
20260330T134500Z_AY1545_D_EFHK,D,AY1545,departure,2026-03-30T16:45:00.000+03:00,E190,E90,AY,EFHK,EBBR,82,,,J
20260330T134500Z_HO1608_D_EFHK,D,HO1608,departure,2026-03-30T16:45:00.000+03:00,B789,789,HO,EFHK,ZSPD,211,,,J
20260330T134500Z_RP655_D_EFHK,D,RP655,departure,2026-03-30T16:45:00.000+03:00,E120,EM2,RP,EFHK,EFSA,14,,,J
20260330T135000Z_AY443_D_EFHK,D,AY443,departure,2026-03-30T16:50:00.000+03:00,A319,319,AY,EFHK,EFOU,111,,,J
20260330T135500Z_AY1415_D_EFHK,D,AY1415,departure,2026-03-30T16:55:00.000+03:00,E190,E90,AY,EFHK,EDDF,89,,,J
20260330T135500Z_AY1475_D_EFHK,D,AY1475,departure,2026-03-30T16:55:00.000+03:00,B738,738,AY,EFHK,LOWW,0,,,J
20260330T135500Z_AY815_D_EFHK,D,AY815,departure,2026-03-30T16:55:00.000+03:00,A319,319,AY,EFHK,ESSA,102,,,J
20260330T140000Z_AY345_D_EFHK,D,AY345,departure,2026-03-30T17:00:00.000+03:00,AT75,,AY,EFHK,EFJO,44,,,J
20260330T140000Z_LH850_A_EFHK,A,LH850,arrival,2026-03-30T17:00:00.000+03:00,A319,319,LH,EDDF,EFHK,107,,12,J
20260330T140500Z_AY1653_D_EFHK,D,AY1653,departure,2026-03-30T17:05:00.000+03:00,A321,321,AY,EFHK,LEBL,170,,,J
20260330T141000Z_AY1020_A_EFHK,A,AY1020,arrival,2026-03-30T17:10:00.000+03:00,AT75,,AY,EETN,EFHK,39,,12,J
20260330T141000Z_AY1163_D_EFHK,D,AY1163,departure,2026-03-30T17:10:00.000+03:00,B738,738,AY,EFHK,EPKK,0,,,J
20260330T141000Z_AY393_D_EFHK,D,AY393,departure,2026-03-30T17:10:00.000+03:00,AT75,,AY,EFHK,EFKK,39,,,J
20260330T141500Z_AY015_D_EFHK,D,AY015,departure,2026-03-30T17:15:00.000+03:00,A333,333,AY,EFHK,KJFK,231,,,J
20260330T141500Z_AY440_A_EFHK,A,AY440,arrival,2026-03-30T17:15:00.000+03:00,A320,320,AY,EFOU,EFHK,117,,2,J
20260330T142000Z_AY1145_D_EFHK,D,AY1145,departure,2026-03-30T17:20:00.000+03:00,E190,E90,AY,EFHK,EPWA,86,,,J
20260330T143000Z_AY041_D_EFHK,D,AY041,departure,2026-03-30T17:30:00.000+03:00,A359,359,AY,EFHK,RKSI,300,,,J
20260330T143000Z_D82862_D_EFHK,D,D82862,departure,2026-03-30T17:30:00.000+03:00,B38M,7M8,D8,EFHK,LROP,142,,,J
20260330T143500Z_AY1225_D_EFHK,D,AY1225,departure,2026-03-30T17:35:00.000+03:00,A321,321,AY,EFHK,LKPR,153,,,J
20260330T144000Z_AF1071_D_EFHK,D,AF1071,departure,2026-03-30T17:40:00.000+03:00,BCS3,CS3,AF,EFHK,LFPG,98,,,J
20260330T144000Z_AY415_D_EFHK,D,AY415,departure,2026-03-30T17:40:00.000+03:00,AT75,,AY,EFHK,EFKI,44,,,J
20260330T144000Z_KL1253_A_EFHK,A,KL1253,arrival,2026-03-30T17:40:00.000+03:00,B738,738,KL,EHAM,EFHK,0,,2,J
20260330T144500Z_AY067_D_EFHK,D,AY067,departure,2026-03-30T17:45:00.000+03:00,A359,359,AY,EFHK,RJBB,263,,,J
20260330T144500Z_AY073_D_EFHK,D,AY073,departure,2026-03-30T17:45:00.000+03:00,A359,359,AY,EFHK,RJAA,257,,,J
20260330T144500Z_D82804_D_EFHK,D,D82804,departure,2026-03-30T17:45:00.000+03:00,B38M,7M8,D8,EFHK,LFMN,144,,,J
20260330T144500Z_RP695_D_EFHK,D,RP695,departure,2026-03-30T17:45:00.000+03:00,E120,EM2,RP,EFHK,EFPO,13,,,J
20260330T145000Z_AY1022_A_EFHK,A,AY1022,arrival,2026-03-30T17:50:00.000+03:00,AT75,,AY,EETN,EFHK,39,,12,J
20260330T145500Z_AY316_A_EFHK,A,AY316,arrival,2026-03-30T17:55:00.000+03:00,AT75,,AY,EFVA,EFHK,36,,12,J
20260330T150000Z_3V1804_D_EFHK,D,3V1804,departure,2026-03-30T18:00:00.000+03:00,B738,738,3V,EFHK,ESOE,,,,F
20260330T150000Z_AY961_D_EFHK,D,AY961,departure,2026-03-30T18:00:00.000+03:00,A320,320,AY,EFHK,EKCH,129,,,J
20260330T151500Z_LH851_D_EFHK,D,LH851,departure,2026-03-30T18:15:00.000+03:00,A319,319,LH,EFHK,EDDF,132,,,J
20260330T152000Z_D82615_A_EFHK,A,D82615,arrival,2026-03-30T18:20:00.000+03:00,B38M,7M8,D8,ESSA,EFHK,121,,3,J
20260330T152500Z_AY152_A_EFHK,A,AY152,arrival,2026-03-30T18:25:00.000+03:00,A359,359,AY,VTSP,EFHK,223,,5,J
20260330T152500Z_KL1254_D_EFHK,D,KL1254,departure,2026-03-30T18:25:00.000+03:00,B738,738,KL,EFHK,EHAM,0,,,J
20260330T153000Z_AY061_D_EFHK,D,AY061,departure,2026-03-30T18:30:00.000+03:00,A359,359,AY,EFHK,RJTT,243,,,J
20260330T153000Z_AY519_D_EFHK,D,AY519,departure,2026-03-30T18:30:00.000+03:00,AT75,,AY,EFHK,EFKE,44,,,J
20260330T153500Z_AY317_D_EFHK,D,AY317,departure,2026-03-30T18:35:00.000+03:00,AT75,,AY,EFHK,EFVA,44,,,J
20260330T153500Z_AY442_A_EFHK,A,AY442,arrival,2026-03-30T18:35:00.000+03:00,A319,319,AY,EFOU,EFHK,99,,6,J
20260330T154000Z_AY370_A_EFHK,A,AY370,arrival,2026-03-30T18:40:00.000+03:00,AT75,,AY,EFKU,EFHK,42,,12,J
20260330T154000Z_AY814_A_EFHK,A,AY814,arrival,2026-03-30T18:40:00.000+03:00,A321,321,AY,ESSA,EFHK,126,,3,J
20260330T154000Z_TK1763_A_EFHK,A,TK1763,arrival,2026-03-30T18:40:00.000+03:00,B739,739,TK,LTFM,EFHK,81,,2,J
20260330T155000Z_AY1076_A_EFHK,A,AY1076,arrival,2026-03-30T18:50:00.000+03:00,AT75,,AY,EVRA,EFHK,40,,12,J
20260330T155500Z_LH2464_A_EFHK,A,LH2464,arrival,2026-03-30T18:55:00.000+03:00,A320,320,LH,EDDM,EFHK,108,,11,J
20260330T160000Z_AY1576_A_EFHK,A,AY1576,arrival,2026-03-30T19:00:00.000+03:00,E190,E90,AY,LFPG,EFHK,65,,12,J
20260330T161000Z_AY1173_D_EFHK,D,AY1173,departure,2026-03-30T19:10:00.000+03:00,AT75,,AY,EFHK,EPGD,44,,,J
20260330T161000Z_AY536_A_EFHK,A,AY536,arrival,2026-03-30T19:10:00.000+03:00,E190,E90,AY,EFRO,EFHK,73,,12,J
20260330T161500Z_AY576_A_EFHK,A,AY576,arrival,2026-03-30T19:15:00.000+03:00,A321,321,AY,EFKT,EFHK,110,,5,J
20260330T162000Z_AY917_D_EFHK,D,AY917,departure,2026-03-30T19:20:00.000+03:00,A319,319,AY,EFHK,ENGM,93,,,J
20260330T163000Z_AY1107_D_EFHK,D,AY1107,departure,2026-03-30T19:30:00.000+03:00,AT75,,AY,EFHK,EYVI,45,,,J
20260330T163000Z_AY1339_D_EFHK,D,AY1339,departure,2026-03-30T19:30:00.000+03:00,A321,321,AY,EFHK,EGLL,142,,,J
20260330T163000Z_AY346_A_EFHK,A,AY346,arrival,2026-03-30T19:30:00.000+03:00,AT75,,AY,EFJO,EFHK,40,,12,J
20260330T163500Z_AY444_A_EFHK,A,AY444,arrival,2026-03-30T19:35:00.000+03:00,A319,319,AY,EFOU,EFHK,92,,3,J
20260330T163500Z_AY960_A_EFHK,A,AY960,arrival,2026-03-30T19:35:00.000+03:00,A320,320,AY,EKCH,EFHK,99,,5,J
20260330T163500Z_TK1764_D_EFHK,D,TK1764,departure,2026-03-30T19:35:00.000+03:00,B739,739,TK,EFHK,LTFM,83,,,J
20260330T164000Z_AY816_A_EFHK,A,AY816,arrival,2026-03-30T19:40:00.000+03:00,A319,319,AY,ESSA,EFHK,76,,2,J
20260330T164000Z_LH2465_D_EFHK,D,LH2465,departure,2026-03-30T19:40:00.000+03:00,A320,320,LH,EFHK,EDDM,120,,,J
20260330T164500Z_AY867_D_EFHK,D,AY867,departure,2026-03-30T19:45:00.000+03:00,E190,E90,AY,EFHK,ESGG,78,,,J
20260330T164500Z_AY916_A_EFHK,A,AY916,arrival,2026-03-30T19:45:00.000+03:00,E190,E90,AY,ENGM,EFHK,65,,12,J
20260330T164500Z_FR6047_A_EFHK,A,FR6047,arrival,2026-03-30T19:45:00.000+03:00,B38M,7M8,FR,LDDU,EFHK,105,,6,J
20260330T165000Z_AY1147_D_EFHK,D,AY1147,departure,2026-03-30T19:50:00.000+03:00,E190,E90,AY,EFHK,EPWA,75,,,J
20260330T165000Z_AY394_A_EFHK,A,AY394,arrival,2026-03-30T19:50:00.000+03:00,AT75,,AY,EFKK,EFHK,35,,12,J
20260330T165000Z_AY866_A_EFHK,A,AY866,arrival,2026-03-30T19:50:00.000+03:00,E190,E90,AY,ESGG,EFHK,64,,11,J
20260330T170000Z_AY1077_D_EFHK,D,AY1077,departure,2026-03-30T20:00:00.000+03:00,AT75,,AY,EFHK,EVRA,45,,,J
20260330T170500Z_AEG7003_A_EFHK,A,AEG7003,arrival,2026-03-30T20:05:00.000+03:00,SF34,SF3,,EETN,EFHK,,,,F
20260330T170500Z_AY609_D_EFHK,D,AY609,departure,2026-03-30T20:05:00.000+03:00,A321,321,AY,EFHK,EFIV,125,,,J
20260330T172000Z_AY1106_A_EFHK,A,AY1106,arrival,2026-03-30T20:20:00.000+03:00,AT75,,AY,EYVI,EFHK,34,,12,J
20260330T172000Z_FR6048_D_EFHK,D,FR6048,departure,2026-03-30T20:20:00.000+03:00,B38M,7M8,FR,EFHK,LDDU,119,,,J
20260330T172500Z_AY1027_D_EFHK,D,AY1027,departure,2026-03-30T20:25:00.000+03:00,AT75,,AY,EFHK,EETN,45,,,J
20260330T172500Z_AY819_D_EFHK,D,AY819,departure,2026-03-30T20:25:00.000+03:00,A319,319,AY,EFHK,ESSA,85,,,J
20260330T172500Z_FR9328_A_EFHK,A,FR9328,arrival,2026-03-30T20:25:00.000+03:00,B738,738,FR,EBCI,EFHK,0,,2,J
20260330T173000Z_AY1581_D_EFHK,D,AY1581,departure,2026-03-30T20:30:00.000+03:00,E190,E90,AY,EFHK,LFPG,77,,,J
20260330T173000Z_AY1675_D_EFHK,D,AY1675,departure,2026-03-30T20:30:00.000+03:00,A320,320,AY,EFHK,LEMG,128,,,J
20260330T173000Z_AY445_D_EFHK,D,AY445,departure,2026-03-30T20:30:00.000+03:00,A319,319,AY,EFHK,EFOU,97,,,J
20260330T173500Z_BJ9102_A_EFHK,A,BJ9102,arrival,2026-03-30T20:35:00.000+03:00,A320,320,BJ,DTMB,EFHK,103,,2,C
20260330T174000Z_AY416_A_EFHK,A,AY416,arrival,2026-03-30T20:40:00.000+03:00,AT75,,AY,EFKI,EFHK,39,,12,J
20260330T174000Z_BT307_A_EFHK,A,BT307,arrival,2026-03-30T20:40:00.000+03:00,BCS3,CS3,BT,EVRA,EFHK,70,,12,J
20260330T174500Z_SK722_A_EFHK,A,SK722,arrival,2026-03-30T20:45:00.000+03:00,AT75,,SK,ESSA,EFHK,35,,11,J
20260330T175000Z_AY7027_D_EFHK,D,AY7027,departure,2026-03-30T20:50:00.000+03:00,AT75,,AY,EFHK,EFKS,39,,,J
20260330T175500Z_AY1549_D_EFHK,D,AY1549,departure,2026-03-30T20:55:00.000+03:00,E190,E90,AY,EFHK,EBBR,72,,,J
20260330T180000Z_AY1336_A_EFHK,A,AY1336,arrival,2026-03-30T21:00:00.000+03:00,A321,321,AY,EGLL,EFHK,110,,3,J
20260330T180000Z_AY1436_A_EFHK,A,AY1436,arrival,2026-03-30T21:00:00.000+03:00,A321,321,AY,EDDB,EFHK,107,,5,J
20260330T180000Z_FR9327_D_EFHK,D,FR9327,departure,2026-03-30T21:00:00.000+03:00,B738,738,FR,EFHK,EBCI,0,,,J
20260330T180500Z_AY1426_A_EFHK,A,AY1426,arrival,2026-03-30T21:05:00.000+03:00,A320,320,AY,EDDH,EFHK,90,,6,J
20260330T180500Z_AY215_D_EFHK,D,AY215,departure,2026-03-30T21:05:00.000+03:00,AT75,,AY,EFHK,EFMA,34,,,J
20260330T180500Z_DK1309_A_EFHK,A,DK1309,arrival,2026-03-30T21:05:00.000+03:00,A21N,32Q,DK,LPMA,EFHK,134,,12,C
20260330T181500Z_SK725_D_EFHK,D,SK725,departure,2026-03-30T21:15:00.000+03:00,AT75,,SK,EFHK,ESSA,43,,,J
